invoice_no,date,customer,code,qty,unit
ΤΔΑ-90501,15/09/2026,ΣΚΛΑΒΕΝΙΤΗΣ ΑΕΕ – Λαμία (Κέντρο),1001,10,ΚΙΒ
ΤΔΑ-90501,15/09/2026,ΣΚΛΑΒΕΝΙΤΗΣ ΑΕΕ – Λαμία (Κέντρο),1003,6,ΚΙΒ
ΤΔΑ-90501,15/09/2026,ΣΚΛΑΒΕΝΙΤΗΣ ΑΕΕ – Λαμία (Κέντρο),3001,60,ΤΕΜ
ΤΔΑ-90502,15/09/2026,MINI MARKET ΠΑΠΑΔΑΚΗΣ Ν.,1001,12,ΤΕΜ
ΤΔΑ-90502,15/09/2026,MINI MARKET ΠΑΠΑΔΑΚΗΣ Ν.,1009,10,ΤΕΜ
ΤΔΑ-90502,15/09/2026,MINI MARKET ΠΑΠΑΔΑΚΗΣ Ν.,2001,1,ΚΙΒ
ΤΔΑ-90503,16/09/2026,ΨΙΛΙΚΑ ΠΑΠΑΔΗΜΗΤΡΙΟΥ – Λαμία,1005,24,ΤΕΜ
ΤΔΑ-90503,16/09/2026,ΨΙΛΙΚΑ ΠΑΠΑΔΗΜΗΤΡΙΟΥ – Λαμία,3004,12,ΤΕΜ
ΤΔΑ-90504,16/09/2026,LIDL HELLAS – Λαμία,2002,9,ΚΙΒ
ΤΔΑ-90504,16/09/2026,LIDL HELLAS – Λαμία,1008,7,ΚΙΒ
